provider,context_test,format_id,context_id,amount,total,low,not_low,invalid,low_pct
Gemini,$5,json_typed,retrieved_5_gift_card,50,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,100,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,150,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,500,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,1000,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,5000,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,10000,10,0,10,0,0.0%
Gemini,$5,json_typed,retrieved_5_gift_card,20000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,fact_only,5,10,10,0,0,100.0%
Gemini,$5,prose_same_block,fact_only,50,10,9,0,1,90.0%
Gemini,$5,prose_same_block,fact_only,100,10,3,7,0,30.0%
Gemini,$5,prose_same_block,fact_only,150,10,6,4,0,60.0%
Gemini,$5,prose_same_block,fact_only,500,10,3,7,0,30.0%
Gemini,$5,prose_same_block,fact_only,1000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,fact_only,5000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,fact_only,10000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,fact_only,20000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,5,10,10,0,0,100.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,50,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,100,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,150,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,500,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,1000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,5000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,10000,10,0,10,0,0.0%
Gemini,$5,prose_same_block,retrieved_5_gift_card,20000,10,0,10,0,0.0%
OpenAI,$5,json_flat,fact_only,5,10,10,0,0,100.0%
OpenAI,$5,json_flat,fact_only,50,10,10,0,0,100.0%
OpenAI,$5,json_flat,fact_only,100,10,10,0,0,100.0%
OpenAI,$5,json_flat,fact_only,150,10,9,1,0,90.0%
OpenAI,$5,json_flat,fact_only,500,10,9,1,0,90.0%
OpenAI,$5,json_flat,fact_only,1000,10,6,4,0,60.0%
OpenAI,$5,json_flat,fact_only,5000,10,4,6,0,40.0%
OpenAI,$5,json_flat,fact_only,10000,10,5,5,0,50.0%
OpenAI,$5,json_flat,fact_only,20000,10,0,10,0,0.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,5,10,10,0,0,100.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,50,10,1,9,0,10.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,100,10,0,10,0,0.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,150,10,1,9,0,10.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,500,10,0,10,0,0.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,1000,10,0,10,0,0.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,5000,10,0,10,0,0.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,10000,10,0,10,0,0.0%
OpenAI,$5,json_flat,retrieved_5_gift_card,20000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,5,10,10,0,0,100.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,50,10,10,0,0,100.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,100,10,10,0,0,100.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,150,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,500,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,1000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,5000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,10000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,fact_only,20000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,5,10,10,0,0,100.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,50,10,10,0,0,100.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,100,10,10,0,0,100.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,150,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,500,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,1000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,5000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,10000,10,0,10,0,0.0%
OpenAI,$5,json_typed_boundary_rule,retrieved_5_gift_card,20000,10,0,10,0,0.0%
OpenAI,$5,json_typed,fact_only,5,10,10,0,0,100.0%
OpenAI,$5,json_typed,fact_only,50,10,10,0,0,100.0%
OpenAI,$5,json_typed,fact_only,100,10,9,1,0,90.0%
OpenAI,$5,json_typed,fact_only,150,10,6,4,0,60.0%
OpenAI,$5,json_typed,fact_only,500,10,6,4,0,60.0%
OpenAI,$5,json_typed,fact_only,1000,10,2,8,0,20.0%
OpenAI,$5,json_typed,fact_only,5000,10,0,10,0,0.0%
OpenAI,$5,json_typed,fact_only,10000,10,0,10,0,0.0%
OpenAI,$5,json_typed,fact_only,20000,10,0,10,0,0.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,5,10,10,0,0,100.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,50,10,8,2,0,80.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,100,10,2,8,0,20.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,150,10,4,6,0,40.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,500,10,4,6,0,40.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,1000,10,1,9,0,10.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,5000,10,0,10,0,0.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,10000,10,0,10,0,0.0%
OpenAI,$5,json_typed,retrieved_5_gift_card,20000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,fact_only,5,10,10,0,0,100.0%
OpenAI,$5,prose_same_block,fact_only,50,10,10,0,0,100.0%
OpenAI,$5,prose_same_block,fact_only,100,10,9,1,0,90.0%
OpenAI,$5,prose_same_block,fact_only,150,10,3,7,0,30.0%
OpenAI,$5,prose_same_block,fact_only,500,10,2,8,0,20.0%
OpenAI,$5,prose_same_block,fact_only,1000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,fact_only,5000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,fact_only,10000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,fact_only,20000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,5,10,10,0,0,100.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,50,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,100,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,150,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,500,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,1000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,5000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,10000,10,0,10,0,0.0%
OpenAI,$5,prose_same_block,retrieved_5_gift_card,20000,10,0,10,0,0.0%
