model,response_models,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,1500,10,0,9,1,0.0%,90.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,2500,10,0,9,1,0.0%,90.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,5000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,10000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,25,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,50,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,56.25,10,6,4,0,60.0%,40.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,59.38,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,60.16,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,60.94,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,62.5,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,75,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,100,10,8,2,0,80.0%,20.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,150,10,9,1,0,90.0%,10.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,200,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,300,10,2,8,0,20.0%,80.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,750,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,1000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,1500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,2500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,5000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_5_gift_card,10000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,25,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,50,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,75,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,100,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,125,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,131.25,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,134.38,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,135.94,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,136.72,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,137.5,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,150,10,2,8,0,20.0%,80.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,200,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,300,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,500,10,2,8,0,20.0%,80.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,750,10,2,8,0,20.0%,80.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,1000,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,1500,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,2500,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,5000,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,retrieved_100000_contract,10000,10,10,0,0,100.0%,0.0%,0
