model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
gpt-5.5,gpt-5.5-2026-04-23,fact_only,75,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,100,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,150,10,7,3,0,0,70.0%,30.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,150.78,10,6,4,0,0,60.0%,40.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,151.56,10,2,8,0,0,20.0%,80.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,153.13,10,3,7,0,0,30.0%,70.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,156.25,10,3,7,0,0,30.0%,70.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,162.5,10,2,8,0,0,20.0%,80.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,175,10,4,6,0,0,40.0%,60.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,200,10,3,7,0,0,30.0%,70.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,300,10,3,7,0,0,30.0%,70.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,750,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,25,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,50,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,75,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,100,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,150,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,200,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,250,10,5,5,0,0,50.0%,50.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,250.78,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,251.56,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,253.13,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,256.25,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,262.5,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,275,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,300,10,4,6,0,0,40.0%,60.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,750,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,1000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,1500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
